"Package"|"Version"|"Priority"|"Depends"|"Imports"|"LinkingTo"|"Suggests"|"Enhances"|"License"|"License_is_FOSS"|"License_restricts_use"|"OS_type"|"Archs"|"MD5sum"|"NeedsCompilation"|"File"|"Repository"
"polyapost"|"1.4-2"|NA|"R (>= 3.0.0), rcdd (>= 1.1-5)"|"boot, stats"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"polychaosbasics"|"1.1-0"|NA|"methods"|"utils, lhs, MASS"|NA|"graphics, stats"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"polyclip"|"1.5-6"|NA|"R (>= 3.0.0)"|NA|NA|NA|NA|"BSL"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"polycor"|"0.7-9"|NA|"R (>= 3.3.0)"|"stats, mvtnorm, Matrix"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"polyfreqs"|"1.0.0"|NA|"R (>= 3.0)"|"Rcpp"|"Rcpp, RcppArmadillo"|"knitr, coda"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"polynom"|"1.3-8"|NA|NA|"stats, graphics"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"polysat"|"1.5-0"|NA|NA|"methods, stats, utils, grDevices, graphics"|NA|"combinat, ade4, adegenet, ape"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"polywog"|"0.4-0"|NA|"miscTools (>= 0.6-12)"|"foreach, Formula, glmnet (>= 1.9-5), iterators, Matrix, ncvreg
(>= 2.4-0), Rcpp (>= 0.11.0), stringr"|"Rcpp"|"car, lattice, rgl"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"pom"|"1.1"|NA|"matrixcalc"|NA|NA|NA|NA|"GNU General Public License"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"pomp"|"1.8"|NA|"R(>= 3.1.2), methods"|"stats, graphics, digest, mvtnorm, deSolve, coda, subplex,
nloptr"|NA|"magrittr, plyr, reshape2, ggplot2, knitr"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"pooh"|"0.3-1"|NA|"R (>= 2.10.0)"|NA|NA|NA|NA|"MIT + file LICENSE"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"pop.wolf"|"0.1"|NA|"parallel, abind"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"popEpi"|"0.3.1"|NA|"R (>= 3.2.0), data.table (>= 1.9.6)"|"Epi, survival"|NA|"reshape2, methods, testthat, knitr, rmarkdown, relsurv,
ggplot2, mstate, date, splines, roxygen2"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"popKorn"|"0.3-0"|NA|"R (>= 3.0.0), boot"|NA|NA|"plotrix"|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"popRange"|"1.1.3"|NA|"findpython"|NA|NA|NA|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"popReconstruct"|"1.0-4"|NA|"coda"|NA|NA|"ggplot2, reshape, gdata"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"pop"|"0.1"|NA|NA|"igraph, MASS"|NA|"knitr, testthat"|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"popbio"|"2.4.3"|NA|NA|NA|NA|"quadprog"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"popdemo"|"0.2-3"|NA|"R (>= 3.3.0)"|"expm"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"popgraph"|"1.4"|NA|"R (>= 2.15), ggplot2, igraph"|"MASS, sp, Matrix, sampling"|NA|"testthat, maps, fields, grid"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"poplite"|"0.99.16"|NA|"R (>= 3.1), methods, dplyr (>= 0.3.0.2)"|"DBI, igraph, lazyeval, RSQLite (>= 1.0.0)"|NA|"testthat, Lahman, VariantAnnotation"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"poppr"|"2.2.1"|NA|"R (>= 2.15.1), adegenet (>= 2.0.0)"|"stats, graphics, grDevices, utils, vegan, ggplot2, phangorn,
ape (>= 3.1-1), igraph, methods, ade4, pegas, reshape2, dplyr
(>= 0.4), boot, shiny, magrittr"|NA|"testthat, knitr, rmarkdown, knitcitations, polysat, poweRlaw,
cowplot"|NA|"GPL-2 | GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"popprxl"|"0.1.2"|NA|"poppr (>= 2.0.2)"|"readxl, utils"|NA|"testthat, knitr, rmarkdown"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"popsom"|"4.0.1"|NA|NA|"som,class,fields, graphics, stats, grDevices"|NA|NA|NA|"GPL"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"population"|"0.1"|NA|"parallel, abind"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"portes"|"2.1-3"|NA|"R (>= 2.14.0), parallel"|NA|NA|"fGarch, FitAR, FGN, TSA, vars, tseries, forecast, akima"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"portfolioSim"|"0.2-7"|NA|"R (>= 2.10), methods, lattice, portfolio (>= 0.4.0)"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"portfolio"|"0.4-7"|NA|"R (>= 2.10), methods, graphics, grid, lattice, nlme"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"postGIStools"|"0.2.0"|NA|"R (>= 3.2.3), sp (>= 1.2)"|"DBI (>= 0.5), jsonlite (>= 0.9), methods, rgdal (>= 0.8),
rgeos (>= 0.3), RPostgreSQL (>= 0.4), stringr (>= 1.0)"|NA|"testthat, knitr, rmarkdown"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"potts"|"0.5-4"|NA|"R (>= 2.10.0)"|"stats, graphics"|NA|"pooh (>= 0.2)"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"poweRlaw"|"0.60.3"|NA|"R (>= 3.0.0)"|"VGAM, parallel, methods, utils, stats"|NA|"knitr, R.matlab, testthat"|NA|"GPL-2 | GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"powell"|"1.0-0"|NA|NA|NA|NA|NA|NA|"GPL"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"powerAnalysis"|"0.2"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"powerGWASinteraction"|"1.1.3"|NA|"R (>= 2.10), mvtnorm, pwr"|"stats"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"powerMediation"|"0.2.4"|NA|"R (>= 3.1.0), stats"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"powerSurvEpi"|"0.0.9"|NA|"R (>= 3.1.0)"|"stats, survival"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"powerbydesign"|"1.0.2"|NA|NA|"lme4, gdata, MASS, reshape2, stringr, plyr, ggplot2"|NA|"testthat"|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"powerpkg"|"1.5"|NA|"tcltk"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"powerplus"|"3.0"|NA|"R (>= 3.1.0)"|"complexplus (>= 1.0), phonTools (>= 0.2-2.1), Matrix (>=
1.2-3), expm (>= 0.999-0), MASS (>= 7.3-45)"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ppcor"|"1.1"|NA|"R (>= 2.6.0), MASS"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ppiPre"|"1.9"|NA|"R (>= 3.1.0)"|"AnnotationDbi, igraph, e1071, GOSemSim, GO.db, stats, utils"|NA|NA|"KEGG.db, org.Hs.eg.db, org.Sc.sgd.db, org.Ag.eg.db,
org.Pt.eg.db, org.Rn.eg.db, org.Ss.eg.db, org.At.tair.db,
org.Bt.eg.db, org.Ce.eg.db, org.Cf.eg.db, org.Dm.eg.db,
org.Dr.eg.db, org.EcK12.eg.db, org.EcSakai.eg.db, org.Gg.eg.db,
org.Mm.eg.db, org.Mmu.eg.db, org.Pf.plasmo.db, org.Xl.eg.db"|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ppls"|"1.6-1"|NA|"splines, MASS"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ppmlasso"|"1.1"|NA|"R (>= 3.0.0), spatstat (>= 1.40-0)"|"methods"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"pps"|"0.94"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"pqantimalarials"|"0.2"|NA|"R (>= 2.14.1)"|"reshape2, RColorBrewer, plyr, shiny"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prLogistic"|"1.2"|NA|"R (>= 2.10.0), boot, methods, stats, stats4, lme4, Hmisc"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prabclus"|"2.2-6"|NA|"R (>= 2.10), MASS, mclust"|NA|NA|"spdep, maptools, foreign, mvtnorm"|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"pracma"|"1.9.5"|NA|"R (>= 2.11.1)"|"graphics, grDevices, stats, utils, quadprog"|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"pragma"|"0.1.3"|NA|"R (>= 2.13.0), utils, methods"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prais"|"0.1.1"|NA|"base, stats"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"praise"|"1.0.0"|NA|NA|NA|NA|"testthat"|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"praktikum"|"0.1"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prc"|"2015.6-24"|NA|"R (>= 3.0.0), kyotil, nlme"|NA|NA|"RUnit, Rmosek, Matrix"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prcbench"|"0.5.0"|NA|"R (>= 3.2.3)"|"ROCR (>= 1.0-7), PRROC (>= 1.1), PerfMeas (>= 1.2.1), precrec
(>= 0.1), rJava (>= 0.9-7), R6 (>= 2.1.1), assertthat (>= 0.1),
grid, gridExtra (>= 2.0.0), graphics, ggplot2 (>= 2.1.0),
methods, memoise (>= 1.0.0)"|NA|"microbenchmark (>= 1.4-2.1), testthat (>= 0.11.0), knitr (>=
1.11), rmarkdown (>= 0.8.1)"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prclust"|"1.2"|NA|"R (>= 3.1.1)"|"Rcpp (>= 0.12.1), parallel"|"Rcpp"|NA|NA|"GPL-2 | GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"precintcon"|"2.3.0"|NA|"R (>= 2.14), ggplot2 (>= 2.0.0), scales"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"precrec"|"0.5.0"|NA|"R (>= 3.2.1)"|"Rcpp (>= 0.12.2), ggplot2 (>= 2.1.0), assertthat (>= 0.1),
grid, gridExtra (>= 2.0.0), methods"|"Rcpp"|"testthat (>= 0.11.0), knitr (>= 1.11), rmarkdown (>= 0.8.1)"|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"predictionInterval"|"1.0.0"|NA|NA|"ggplot2, MBESS, MASS, stats, pbapply"|NA|NA|NA|"MIT License + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"predictmeans"|"0.99"|NA|"R (>= 3.0.0), lme4, nlme"|"ggplot2, lattice, pbkrtest, plyr"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"predmixcor"|"1.1-1"|NA|"R (>= 1.5.0)"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prefmod"|"0.8-33"|NA|"R (>= 3.0.0), stats, graphics, gnm (>= 1.0-0), colorspace"|"grDevices, utils"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prepdat"|"1.0.7"|NA|"R (>= 3.0.3)"|"dplyr (>= 0.4.2), reshape2 (>= 1.4.1), psych(>= 1.5.4)"|NA|"knitr, testthat"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"preprocomb"|"0.3.0"|NA|"R (>= 2.10)"|"DMwR, randomForest, caret, clustertend, stats, e1071, methods,
utils, arules, zoo, doParallel, foreach"|NA|"kernlab, rpart, testthat, knitr, rmarkdown, ggplot2, lattice,
preproviz"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"preprosim"|"0.2.0"|NA|NA|"DMwR, reshape2, ggplot2, methods, stats, caret, doParallel,
foreach, e1071"|NA|"gbm, preprocomb, preproviz, knitr, rmarkdown"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"preproviz"|"0.2.0"|NA|"R (>= 3.2.2)"|"caret, DMwR, randomForest, ClustOfVar, reshape2, ggplot2,
ggdendro, gridExtra, methods, utils, stats"|NA|"testthat, rmarkdown, knitr, preprocomb"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prereg"|"0.1.0"|NA|"R (>= 3.2.3)"|"rmarkdown (>= 0.9.2)"|NA|"testthat"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"presens"|"2.1.0"|NA|NA|"marelac (>= 2.1.4), measurements, stats, utils"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"preseqR"|"2.0.1.1"|NA|NA|"polynom"|NA|NA|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prettyGraphs"|"2.1.5"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prettyR"|"2.2"|NA|NA|"grDevices, stats, utils"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prettydoc"|"0.2.0"|NA|NA|"rmarkdown (>= 1.0)"|NA|"knitr"|NA|"Apache License (>= 2.0)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prettymapr"|"0.1.5"|NA|NA|"sp, rgdal, digest, rjson, foreach"|NA|"maptools, raster, rosm"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prettyunits"|"1.0.2"|NA|NA|"magrittr, assertthat, methods"|NA|"testthat"|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prevR"|"3.3"|NA|"R (>= 2.10), sp, rgdal (>= 0.7-4), ggplot2, directlabels"|"GenKern, fields, gstat, foreign, maptools, methods"|NA|"tcltk, geoR"|NA|"CeCILL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prevalence"|"0.4.0"|NA|"R (>= 3.0.0), rjags, coda, methods"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prim"|"1.0.16"|NA|"R (>= 2.10.0)"|"grDevices, graphics, misc3d, rgl, stats, tcltk, utils"|NA|"MASS"|NA|"GPL-2 | GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"primefactr"|"0.1.0"|NA|"R (>= 3.2.3)"|NA|NA|"testthat, covr"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"primerTree"|"1.0.3"|NA|"R (>= 3.0.0), directlabels, gridExtra"|"ggplot2, grid, XML, ape, httr, lubridate, plyr, scales,
stringr, foreach"|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"primer"|"1.0"|NA|"deSolve, lattice"|NA|NA|"bbmle, gdata, nlme, vegan"|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"primes"|"0.1.0"|NA|NA|"Rcpp"|"Rcpp"|"testthat"|NA|"MIT + file LICENSE"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"princurve"|"1.1-12"|NA|NA|"stats, graphics"|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prinsimp"|"0.8-8"|NA|NA|NA|NA|NA|NA|"AGPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prism"|"0.0.7"|NA|NA|"ggplot2, raster, httr"|NA|"testthat, knitr"|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"pro"|"0.1.1"|NA|NA|NA|NA|"cin"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"probFDA"|"1.0.1"|NA|"MASS"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prob"|"0.9-5"|NA|"combinat, fAsianOptions, hypergeo, VGAM"|NA|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"probemod"|"0.2.1"|NA|"R (>= 3.1.2)"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"probsvm"|"1.00"|NA|"kernlab"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"proccalibrad"|"0.14"|NA|NA|"utils"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"processcontrol"|"0.1.0"|NA|"R (>= 3.1.0)"|"plyr"|NA|NA|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prodigenr"|"0.3.0"|NA|"R (>= 3.1.2)"|"devtools, stats, utils"|NA|"rmarkdown, knitr, testthat, rvest, xml2, rfigshare"|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prodlim"|"1.5.7"|NA|"R (>= 2.9.0)"|"Rcpp (>= 0.11.5), stats, graphics, survival, KernSmooth, lava"|"Rcpp"|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"productplots"|"0.1.1"|NA|NA|"plyr, ggplot2"|NA|"reshape2, testthat, covr"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"prof.tree"|"0.1.0"|NA|"R (>= 3.0.0)"|"data.tree"|NA|"testthat, covr"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"profdpm"|"3.3"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"profileModel"|"0.5-9"|NA|"R (>= 2.6.0)"|NA|NA|"MASS, gnm"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"profileR"|"0.3-3"|NA|"ggplot2, RColorBrewer, reshape, lavaan, R (>= 3.0.0)"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"profilr"|"0.1.0"|NA|"R (>= 3.1.2)"|NA|NA|"testthat"|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"profmem"|"0.4.0"|NA|NA|"utils"|NA|"R.rsp, markdown, microbenchmark"|NA|"LGPL (>= 2.1)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"profr"|"0.3.1"|NA|NA|"stringr, plyr"|NA|"ggplot2"|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"proftools"|"0.99-2"|NA|NA|NA|NA|"graph,Rgraphviz,boot,knitr"|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"profvis"|"0.3.2"|NA|"R (>= 3.0)"|"htmlwidgets (>= 0.3.2), stringr"|NA|"knitr, ggplot2, rmarkdown, testthat"|NA|"GPL-3 | file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
